,zip_code,latitude,longitude
686,61422,40.548189,-90.657031
687,61423,40.90417100000001,-90.556645
688,61424,41.077977,-89.63323299999998
689,61425,40.852582,-90.985293
690,61426,41.118265,-89.70715
691,61427,40.501446,-90.201152
692,61428,41.007962,-90.102455
693,61430,40.980167,-90.329573
694,61431,40.577403,-90.305162
695,61432,40.645183,-90.158064
696,61433,40.449305,-90.161761
697,61434,41.212281,-90.091976
698,61435,40.986267,-90.549089
699,61436,40.968763,-90.201205
700,61437,40.852582,-90.985293
701,61438,40.57311,-90.646976
702,61439,41.027582,-90.357532
703,61440,40.41622,-90.648351
704,61441,40.333536,-90.307389
705,61442,41.133733,-90.711121
706,61443,41.257262,-90.118355
707,61447,40.871331,-90.656439
708,61448,40.972611,-90.168778
709,61449,41.109823,-89.97363
710,61450,40.549636,-90.997312
711,61451,40.938808,-89.889949
712,61452,40.20621,-90.652911
713,61453,40.991276,-90.707712
714,61454,40.852582,-90.985293
715,61455,40.459904,-90.660675
716,61458,40.802776,-90.213566
717,61459,40.510851,-90.393855
718,61460,40.852582,-90.985293
719,61462,40.924563,-90.618313
720,61465,41.176867,-90.687247
721,61466,41.107653000000006,-90.485206
722,61467,41.076845,-90.242298
723,61468,41.25722800000001,-90.400667
724,61469,40.937485,-90.948392
725,61470,40.591144,-90.512266
726,61471,40.852582,-90.985293
727,61472,41.100464,-90.38161
728,61473,40.747768,-90.654131
729,61474,40.739649,-90.358419
730,61475,40.58315800000001,-90.731564
731,61476,41.13665200000001,-90.760811
732,61477,40.495137,-90.345369
733,61478,40.74981500000001,-90.750256
734,61479,40.987171,-89.651961
735,61480,40.719278,-90.894204
736,61482,40.376602,-90.408961
737,61483,41.09404,-89.864391
738,61484,40.285383,-90.393432
739,61485,41.00733,-90.085007
740,61486,41.208497,-90.575522
741,61488,41.016591,-90.251635
742,61489,40.94837,-90.042908
743,61490,41.208513,-90.230506
744,61491,41.085606,-89.788462
745,61501,40.243173,-90.324653
746,61516,40.853248,-89.131937
747,61517,40.814233,-89.859603
748,61519,40.466267,-90.091027
749,61520,40.445611,-90.151535
750,61523,40.831823,-89.636673
751,61524,40.491606,-90.04193599999998
752,61525,40.84674,-89.678884
753,61526,40.911838,-89.644497
754,61528,40.836603,-89.726242
755,61529,40.778516,-89.910219
756,61530,40.705084,-89.37670200000002
757,61531,40.471426,-90.170475
758,61532,40.305929,-89.8716
759,61533,40.589183,-89.81514399999998
760,61534,40.425189,-89.62064000000002
761,61535,40.600997,-89.557074
762,61536,40.68564600000001,-89.781809
763,61537,41.053004,-89.339283
764,61539,40.557119,-89.76848100000002
765,61540,41.007987,-89.337636
766,61541,41.006325,-89.22691999999998
767,61542,40.463185,-90.166942
768,61543,40.390243,-90.002625
769,61544,40.672692,-90.291576
770,61545,40.879257,-89.370304
771,61546,40.366447,-89.880969
772,61547,40.60896,-89.742265
773,61548,40.833004,-89.358019
774,61550,40.591322,-89.42533900000002
775,61552,40.817987,-89.567996
776,61553,40.449305,-90.161761
777,61554,40.548928,-89.638839
778,61555,40.56071,-89.65023199999997
779,61558,40.554538,-89.609951
780,61559,40.99564,-89.747439
781,61560,41.205454,-89.430236
782,61561,40.793501,-89.238985
783,61562,40.874269,-89.506695
784,61563,40.491232,-90.050499
785,61564,40.494804,-89.654598
786,61565,41.006602,-89.34804
787,61567,40.344336,-89.88589499999998
788,61568,40.456128,-89.54265600000002
789,61569,40.677626,-89.909859
790,61570,40.935265,-89.33833
791,61571,40.575996,-89.487463
792,61572,40.785753,-90.04299300000002
793,61601,40.693137,-89.58984699999998
794,61602,40.683283,-89.60489799999998
795,61603,40.779845,-89.554055
796,61604,40.779003,-89.617464
797,61605,40.676637,-89.633787
798,61606,40.698087,-89.60869699999998
799,61607,40.632085,-89.690349
800,61610,40.654065,-89.571837
801,61611,40.563589,-89.543319
802,61612,40.744179,-89.718401
803,61613,40.742537,-89.627948
804,61614,40.768117,-89.60264699999998
805,61615,40.766087,-89.644982
806,61616,,
807,61625,40.696287,-89.616648
808,61628,40.744179,-89.718401
809,61629,40.692037,-89.588747
810,61630,40.744179,-89.718401
811,61632,40.765301,-89.56920699999998
812,61633,40.731165,-89.603081
813,61634,40.689637,-89.592597
814,61635,40.744179,-89.718401
815,61636,40.699937,-89.595147
816,61637,40.702487,-89.58979699999998
817,61638,40.796887,-89.61114599999998
818,61639,40.709837,-89.56364599999998
819,61640,40.785653,-89.617657
820,61641,40.640002,-89.651987
821,61643,40.744179,-89.718401
822,61644,40.765301,-89.56920699999998
823,61650,40.744179,-89.718401
824,61651,40.744179,-89.718401
825,61652,40.87671,-89.509113
826,61653,40.744179,-89.718401
827,61654,40.744179,-89.718401
828,61655,40.744179,-89.718401
829,61656,40.744179,-89.718401
830,61701,40.462041,-88.85039599999998
831,61702,40.519236,-88.864303
832,61704,40.491715,-88.982373
833,61709,40.461431,-88.95301500000002
834,61710,40.477735,-88.954174
835,61720,40.568549,-88.72211300000002
836,61721,40.36129,-89.323143
837,61722,40.447857,-88.632584
838,61723,40.233769,-89.257602
839,61724,40.332543,-88.549114
840,61725,40.580974,-89.17868100000003
841,61726,40.535221,-88.89500100000002
842,61727,40.152822,-88.947118
